date,year,month,day,decimal,co2_molfrac,day_of_year,co2_30d_avg,co2_365_avg,daily_diff,monthly_diff,monthly_change
1993-12-31,1993.0,12.0,16.137931034482758,1993.9565413793102,357.0310344827586,350.13793103448273,356.34034482758625,357.2134482758621,0.03482758620689624,1.51,0.4239495101448165
1994-01-31,1994.0,1.0,14.0,1994.0356185185185,358.31037037037044,14.0,357.77629629629627,357.3255555555556,0.03370370370370463,1.28,0.3583262417131916
1994-02-28,1994.0,2.0,15.4,1994.1243839999997,359.06199999999995,46.4,358.634,357.43559999999997,0.07,0.75,0.209770548603605
1994-03-31,1994.0,3.0,15.655172413793103,1994.2017965517243,360.0968965517241,74.65517241379311,359.45206896551724,357.5486206896552,0.018965517241377742,1.03,0.288222243435432
1994-04-30,1994.0,4.0,16.357142857142858,1994.28865,361.3875,106.35714285714286,360.9357142857143,357.7232142857143,0.07892857142857272,1.29,0.3584044907453121
1994-05-31,1994.0,5.0,15.8,1994.3693133333334,361.783,135.8,361.72066666666666,357.89966666666663,-0.02833333333333409,0.4,0.10943931375602123
1994-06-30,1994.0,6.0,14.962962962962964,1994.4519592592592,360.9666666666667,165.96296296296296,361.40444444444444,358.00333333333333,-0.06592592592592492,-0.82,-0.22564170603187605
1994-07-31,1994.0,7.0,16.0,1994.5369806451613,359.51354838709676,197.0,360.20451612903224,358.14193548387095,-0.028709677419356233,-1.45,-0.402563010315804
1994-08-31,1994.0,8.0,15.416666666666666,1994.6203249999999,357.6358333333333,227.41666666666666,358.69041666666664,358.315,-0.12750000000000009,-1.88,-0.5222932660500668
1994-09-30,1994.0,9.0,15.083333333333334,1994.7043375,355.87208333333336,258.0833333333333,356.60875000000004,358.4479166666667,-0.03291666666666515,-1.76,-0.49316926202863653
1994-10-31,1994.0,10.0,14.5,1994.7849285714287,356.1642857142857,287.5,355.8071428571429,358.5482142857143,0.036428571428570776,0.29,0.08210882354564575
1994-11-30,1994.0,11.0,15.821428571428571,1994.8734892857142,357.6692857142857,319.82142857142856,356.9610714285714,358.77,0.05785714285714302,1.5,0.42255780839499657
1994-12-31,1994.0,12.0,15.071428571428571,1994.953617857143,359.0678571428571,349.07142857142856,358.43107142857144,358.94964285714286,0.05500000000000073,1.4,0.39102363116765293
1995-01-31,1995.0,1.0,16.166666666666668,1995.0415566666668,360.04833333333335,16.166666666666668,359.652,359.11633333333333,0.014999999999999621,0.98,0.2730615316776097
1995-02-28,1995.0,2.0,14.5,1995.1219142857142,360.9967857142857,45.5,360.48071428571427,359.2703571428571,0.055357142857143264,0.95,0.263423627647863
